Titles,User Ratings,Genres,Casts
Trolls Band Together,71.27,"Animation,Family,Music,Fantasy,Comedy","{'Anna Kendrick': 'Poppy (voice)', 'Justin Timberlake': 'Branch (voice)', 'Camila Cabello': 'Viva (voice)', 'Eric André': 'John Dory (voice)', 'Amy Schumer': 'Velvet (voice)', 'Andrew Rannells': 'Veneer (voice)', 'Daveed Diggs': 'Spruce (voice)', 'Troye Sivan': 'Floyd (voice)', 'Kid Cudi': 'Clay (voice)'}"
Oppenheimer,81.56,"Drama,History","{'Cillian Murphy': 'J. Robert Oppenheimer', 'Emily Blunt': 'Kitty Oppenheimer', 'Matt Damon': 'Leslie Groves', 'Robert Downey Jr.': 'Lewis Strauss', 'Florence Pugh': 'Jean Tatlock', 'Josh Hartnett': 'Ernest Lawrence', 'Casey Affleck': 'Boris Pash', 'Rami Malek': 'David Hill', 'Kenneth Branagh': 'Niels Bohr'}"
The Creator,71.49,"Science Fiction,Action,Thriller","{'John David Washington': 'Joshua', 'Madeleine Yuna Voyles': 'Alphie', 'Gemma Chan': 'Maya', 'Allison Janney': 'Colonel Howell', 'Ken Watanabe': 'Harun', 'Sturgill Simpson': 'Drew', 'Amar Chadha-Patel': 'Omni / SEK-ON / Sergeant Bui', 'Marc Menchaca': 'McBride', 'Robbie Tann': 'Shipley'}"
Leo,79.00,"Animation,Comedy,Family","{'Adam Sandler': 'Leo (voice)', 'Bill Burr': 'Squirtle (voice)', 'Cecily Strong': 'Mrs. Malkin  (voice)', 'Jason Alexander': ""Jayda's Dad (voice)"", 'Rob Schneider': 'Principal (voice)', 'Allison Strong': 'Mrs. Salinas (voice)', 'Jo Koy': 'Coach Komura (voice)', 'Sadie Sandler': 'Jayda (voice)', 'Sunny Sandler': 'Summer (voice)'}"
Five Nights at Freddy's,78.57,"Horror,Mystery","{'Josh Hutcherson': 'Mike', 'Piper Rubio': 'Abby', 'Elizabeth Lail': 'Vanessa', 'Matthew Lillard': 'Steve Raglan', 'Mary Stuart Masterson': 'Aunt Jane', 'Kat Conner Sterling': 'Max', 'David Lind': 'Jeff', 'Christian Stokes': 'Hank', 'Joseph Poliquin': 'Carl'}"
Expend4bles,64.32,"Action,Adventure,Thriller","{'Sylvester Stallone': 'Barney Ross', 'Jason Statham': 'Lee Christmas', '50 Cent': ""Drew 'Easy Day' Farrell"", 'Megan Fox': 'Gina', 'Dolph Lundgren': 'Gunner Jensen', 'Iko Uwais': 'Rahmat', 'Andy García': 'Marsh', 'Tony Jaa': 'Decha', 'Randy Couture': 'Toll Road'}"
Jawan,71.46,"Action,Adventure,Thriller","{'Shah Rukh Khan': 'Vikram Rathore / Azaad Rathore', 'Nayanthara': 'Narmada Rai', 'Vijay Sethupathi': 'Kaali Gaikwad', 'Priyamani': 'Lakshmi', 'Sanya Malhotra': 'Dr. Eeram', 'Sunil Grover': 'Irani', 'Ridhi Dogra': 'Kaveri', 'Deepika Padukone': 'Aishwarya', 'Lehar Khan': 'Kalki'}"
Fast X,72.03,"Action,Crime,Thriller","{'Vin Diesel': 'Dominic Toretto', 'Michelle Rodriguez': 'Letty', 'Tyrese Gibson': 'Roman', 'Ludacris': 'Tej', 'John Cena': 'Jakob Toretto', 'Nathalie Emmanuel': 'Ramsey', 'Jordana Brewster': 'Mia Toretto', 'Sung Kang': 'Han', 'Jason Momoa': 'Dante'}"
Mission: Impossible - Dead Reckoning Part One,75.86,"Action,Thriller","{'Tom Cruise': 'Ethan Hunt', 'Hayley Atwell': 'Grace', 'Ving Rhames': 'Luther Stickell', 'Simon Pegg': 'Benji Dunn', 'Rebecca Ferguson': 'Ilsa Faust', 'Vanessa Kirby': 'The White Widow', 'Esai Morales': 'Gabriel', 'Pom Klementieff': 'Paris', 'Henry Czerny': 'Kittridge'}"
Napoleon,64.86,"Drama,History,War","{'Joaquin Phoenix': 'Napoleon Bonaparte', 'Vanessa Kirby': 'Josephine Bonaparte', 'Tahar Rahim': 'Paul Barras', 'Ben Miles': 'Caulaincourt', 'John Hollingworth': 'Marshal Ney', 'Youssef Kerkour': 'General Davout', 'Davide Tucci': 'Lazar Hoche', 'Edouard Philipponnat': 'Tsar Alexander', 'Paul Rhys': 'Charles-Maurice de Talleyrand-Périgord'}"
